id	PKTAPA2	mode_name	mode
1	Kävely (sis. avustavat välineet)	ka	1
2	Polkupyörä	py	2
3	Auto, kuljettajana	ak	4
4	Auto, matkustajana	am	5
5	Taksi tai muu kuljetuspalvelu	am	5
6	Bussi	jl	3
7	Juna	jl	3
8	Metro	jl	3
9	Raitiovaunu	jl	3
10	Pikaraitiovaunu	jl	3
11	Sähköpotkulauta	py	2
12	Moottoripyörä, mopo, mopoauto, mönkijä	muu	-1
13	Muu kulkutapa	muu	-1

